,S.No,Parliament Constituency,Leading Candidate,Total Votes,Margin,party
221,5,Shirur(36),DR. AMOL RAMSING KOLHE,439445,75408,Nationalist Congress Party – Sharadchandra Pawar
222,4,Khagaria(25),RAJESH VERMA,205493,75539,Lok Janshakti Party
223,121,Nabarangpur(12),BALABHADRA MAJHI,408393,75651,Bharatiya Janata Party
224,116,Balasore(6),PRATAP CHANDRA SARANGI,296968,75982,Bharatiya Janata Party
225,15,Purvi Champaran(3),RADHA MOHAN SINGH,409762,76354,Bharatiya Janata Party
226,84,Lohardaga(12),SUKHDEO BHAGAT,216789,76682,Indian National Congress
227,66,KRISHNAGIRI(9),GOPINATH K,207676,77839,Indian National Congress
228,215,Adilabad (1),GODAM NAGESH,527837,78148,Bharatiya Janata Party
229,1,Sikkim(1),INDRA HANG SUBBA,156836,78170,Sikkim Krantikari Morcha
230,23,Begusarai(24),GIRIRAJ SINGH,623722,78385,Bharatiya Janata Party
231,12,Banka(27),GIRIDHARI YADAV,434934,78803,Janata Dal
232,15,Raichur(6),G. KUMAR NAIK.,642212,79147,Indian National Congress
233,34,Robertsganj(80),CHHOTELAL,310198,79656,Samajwadi Party
234,2,Hingoli(15),AASHTIKAR PATIL NAGESH BAPURAO,338392,79739,Shiv Sena
235,114,Keonjhar(4),ANANTA NAYAK,450408,81182,Bharatiya Janata Party
236,173,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,501441,83275,Bharatiya Janata Party
237,1,Raigad(32),TATKARE SUNIL DATTATREY,506529,83392,Nationalist Congress Party
238,14,Nalanda(29),KAUSHALENDRA KUMAR,287273,83547,Janata Dal
239,74,Saharanpur(1),IMRAN MASOOD,495777,84019,Indian National Congress
240,202,Godda(3),NISHIKANT DUBEY,495402,84055,Bharatiya Janata Party
241,203,Chatra(4),KALI CHARAN SINGH,242239,84495,Bharatiya Janata Party
242,1,Kottayam(14),ADV K FRANCIS GEORGE,352237,85445,Kerala Congress
243,12,Mohanlalganj(34),R.K. CHAUDHARY,458476,86537,Samajwadi Party
244,181,Jalpaiguri(3),DR JAYANTA KUMAR ROY,709230,86671,Bharatiya Janata Party
245,47,Bharuch(22),MANSUKHBHAI DHANJIBHAI VASAVA,605489,87070,Bharatiya Janata Party
246,57,GANGANAGAR (1),KULDEEP INDORA,719896,87799,Indian National Congress
247,126,Puri(17),SAMBIT PATRA,521174,88194,Bharatiya Janata Party
248,24,Basti(61),RAM PRASAD CHAUDHARY,485846,88413,Samajwadi Party
249,76,Sitapur(30),RAKESH RATHOR,523472,88494,Indian National Congress
250,4,Rampur(7),MOHIBBULLAH,480755,88622,Samajwadi Party
251,25,Sant Kabir Nagar(62),LAXMIKANT PAPPU NISHAD,438501,89809,Samajwadi Party
252,41,Anand(16),MITESH PATEL (BAKABHAI),612484,89939,Bharatiya Janata Party
253,26,Lalganj(68),DAROGA PRASAD SAROJ,342228,90453,Samajwadi Party
254,6,Firozabad(20),AKSHAYA YADAV,539679,90546,Samajwadi Party
255,59,SHIMLA(4),Suresh Kumar Kashyap,513936,90548,Bharatiya Janata Party
256,119,Bolangir(10),SANGEETA KUMARI SINGH DEO,393188,90708,Bharatiya Janata Party
257,2,Dindori (20),BHASKAR MURLIDHAR BHAGARE,496488,91171,Nationalist Congress Party – Sharadchandra Pawar
258,186,Ranaghat(13),JAGANNATH SARKAR,380352,91281,Bharatiya Janata Party
259,9,ARANI(12),THARANIVENTHAN M S,239869,91660,Dravida Munnetra Kazhagam
260,20,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",403765,91769,Bharatiya Janata Party
261,1,TIRUPPUR(18),"SUBBARAYAN, K.",337160,92590,Communist Party of India
262,195,BILASPUR(5),TOKHAN SAHU,436165,92664,Bharatiya Janata Party
263,1,Valmiki Nagar (1),SUNIL KUMAR,420520,92689,Janata Dal
264,4,Jhanjharpur(7),RAMPRIT MANDAL,257185,92768,Janata Dal
265,129,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,305047,92984,Bharatiya Janata Party
266,14,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,635323,93040,Indian National Congress
267,87,Nagarkurnool(12),DR.MALLU RAVI,459259,94361,Indian National Congress
268,3,Jahanabad(36),SURENDRA PRASAD YADAV,277663,94888,Rashtriya Janata Dal
269,67,KARUR(23),JOTHIMANI. S,323777,95131,Indian National Congress
270,24,Patna Sahib(30),RAVI SHANKAR PRASAD,377349,95843,Bharatiya Janata Party
271,63,Dharwad(11),PRALHAD JOSHI,713649,96033,Bharatiya Janata Party
272,2,Jangipur(9),KHALILUR RAHAMAN,407376,96104,All India Trinamool Congress
273,4,Arunachal West(1),KIREN RIJIJU,196415,96315,Bharatiya Janata Party
